Date,Open,Max,Min,Close,Volume
2014-01-01 00:00,1.37883,1.37883,1.37883,1.37883,0
2014-01-02 00:00,1.37551,1.37747,1.36293,1.36716,76294
2014-01-03 00:00,1.36699,1.36723,1.35821,1.35869,65499
2014-01-04 00:00,1.35869,1.35869,1.35869,1.35869,0
2014-01-05 00:00,1.35869,1.35869,1.35869,1.35869,0
2014-01-06 00:00,1.35919,1.36526,1.35712,1.36277,61506
2014-01-07 00:00,1.36271,1.36559,1.35964,1.36149,57508
2014-01-08 00:00,1.36134,1.36346,1.35532,1.35748,64931
2014-01-09 00:00,1.35747,1.36328,1.35483,1.36083,71190
2014-01-10 00:00,1.36077,1.36869,1.35726,1.36648,66151
2014-01-11 00:00,1.36648,1.36648,1.36648,1.36648,0
2014-01-12 00:00,1.36648,1.36648,1.36648,1.36648,0
2014-01-13 00:00,1.36777,1.36846,1.36373,1.36705,52852
2014-01-14 00:00,1.36701,1.36991,1.36488,1.36786,52711
2014-01-15 00:00,1.3678,1.36812,1.35816,1.36043,54320
2014-01-16 00:00,1.36042,1.36492,1.35829,1.36193,60650
2014-01-17 00:00,1.3619,1.36208,1.35169,1.35401,56336
2014-01-18 00:00,1.35401,1.35401,1.35401,1.35401,0
2014-01-19 00:00,1.35401,1.35401,1.35401,1.35401,0
2014-01-20 00:00,1.35366,1.35677,1.35075,1.35514,40099
2014-01-21 00:00,1.35514,1.35688,1.35163,1.35606,55289
2014-01-22 00:00,1.35604,1.35834,1.35344,1.35468,50900
2014-01-23 00:00,1.35464,1.36981,1.35298,1.36961,78589
2014-01-24 00:00,1.36956,1.3739,1.36626,1.36826,77024
2014-01-25 00:00,1.36826,1.36826,1.36826,1.36826,0
2014-01-26 00:00,1.36826,1.36826,1.36826,1.36826,0
2014-01-27 00:00,1.36769,1.37164,1.36529,1.36723,66273
2014-01-28 00:00,1.36724,1.36881,1.3629,1.36703,58564
2014-01-29 00:00,1.36701,1.36845,1.36029,1.36627,85351
2014-01-30 00:00,1.36609,1.36651,1.35436,1.35542,77702
2014-01-31 00:00,1.35542,1.35723,1.3479,1.34883,84553
2014-02-01 00:00,1.34883,1.34883,1.34883,1.34883,0
2014-02-02 00:00,1.34883,1.34883,1.34883,1.34883,0
2014-02-03 00:00,1.34835,1.35352,1.3477,1.35246,72706
2014-02-04 00:00,1.35246,1.35385,1.34932,1.35177,65459
2014-02-05 00:00,1.35179,1.3555,1.34985,1.35324,67044
2014-02-06 00:00,1.35324,1.36187,1.34821,1.35893,68602
2014-02-07 00:00,1.35893,1.36418,1.35519,1.36363,62671
2014-02-08 00:00,1.36363,1.36363,1.36363,1.36363,0
2014-02-09 00:00,1.36363,1.36363,1.36363,1.36363,0
2014-02-10 00:00,1.3615,1.36512,1.3615,1.36455,44286
2014-02-11 00:00,1.36449,1.36828,1.36291,1.36376,60268
2014-02-12 00:00,1.36374,1.36524,1.3562,1.35931,63522
2014-02-13 00:00,1.35926,1.36915,1.3585,1.36796,66910
2014-02-14 00:00,1.36795,1.37145,1.36734,1.36922,58042
2014-02-15 00:00,1.36922,1.36922,1.36922,1.36922,0
2014-02-16 00:00,1.36922,1.36922,1.36922,1.36922,0
2014-02-17 00:00,1.37077,1.3724,1.36919,1.37063,37496
2014-02-18 00:00,1.37063,1.37702,1.36941,1.37582,57568
2014-02-19 00:00,1.37576,1.3773,1.37242,1.37325,48797
2014-02-20 00:00,1.37325,1.37623,1.3685,1.37181,60575
2014-02-21 00:00,1.3718,1.37582,1.3702,1.37386,48679
2014-02-22 00:00,1.37386,1.37386,1.37386,1.37386,0
2014-02-23 00:00,1.37386,1.37386,1.37386,1.37386,0
2014-02-24 00:00,1.37336,1.37712,1.37082,1.37342,48894
2014-02-25 00:00,1.37342,1.37668,1.37154,1.37446,51799
2014-02-26 00:00,1.37444,1.3757,1.36615,1.3686,58704
2014-02-27 00:00,1.36859,1.37265,1.3643,1.37092,58810
2014-02-28 00:00,1.3709,1.38243,1.36937,1.37994,73779
2014-03-01 00:00,1.37994,1.37994,1.37994,1.37994,0
2014-03-02 00:00,1.37994,1.37994,1.37994,1.37994,0
2014-03-03 00:00,1.37583,1.37924,1.3726,1.37342,62842
2014-03-04 00:00,1.37341,1.37814,1.37206,1.37426,57552
2014-03-05 00:00,1.37425,1.3749,1.37072,1.37328,54620
2014-03-06 00:00,1.37322,1.38728,1.37211,1.38604,68393
2014-03-07 00:00,1.38599,1.3915,1.38522,1.38738,60191
2014-03-08 00:00,1.38738,1.38738,1.38738,1.38738,0
2014-03-09 00:00,1.38738,1.38738,1.38738,1.38738,0
2014-03-10 00:00,1.38711,1.38976,1.38613,1.38778,42978
2014-03-11 00:00,1.38779,1.38784,1.38335,1.38585,46775
2014-03-12 00:00,1.38584,1.39142,1.38431,1.39022,51958
2014-03-13 00:00,1.39013,1.39666,1.38454,1.3872,74254
2014-03-14 00:00,1.38719,1.39371,1.38473,1.39096,67707
2014-03-15 00:00,1.39096,1.39096,1.39096,1.39096,0
2014-03-16 00:00,1.39096,1.39096,1.39096,1.39096,0
2014-03-17 00:00,1.39142,1.39474,1.38789,1.39209,47407
2014-03-18 00:00,1.39209,1.39427,1.38797,1.39335,55453
2014-03-19 00:00,1.39335,1.39337,1.38095,1.38162,59105
2014-03-20 00:00,1.38162,1.38448,1.37496,1.37797,60862
2014-03-21 00:00,1.37795,1.38105,1.37654,1.37974,46418
2014-03-22 00:00,1.37974,1.37974,1.37974,1.37974,0
2014-03-23 00:00,1.37974,1.37974,1.37974,1.37974,0
2014-03-24 00:00,1.38012,1.38752,1.37603,1.38378,54080
2014-03-25 00:00,1.3838,1.38469,1.37492,1.38258,67081
2014-03-26 00:00,1.38259,1.38275,1.37761,1.3785,55999
2014-03-27 00:00,1.37849,1.37969,1.37284,1.37411,62199
2014-03-28 00:00,1.37406,1.37728,1.37045,1.37497,53013
2014-03-29 00:00,1.37497,1.37497,1.37497,1.37497,0
2014-03-30 00:00,1.37497,1.37497,1.37497,1.37497,0
2014-03-31 00:00,1.376,1.38085,1.3721,1.37689,60427
2014-04-01 00:00,1.37691,1.38153,1.37682,1.37926,47603
2014-04-02 00:00,1.37922,1.38202,1.37529,1.37669,44100
2014-04-03 00:00,1.37666,1.3806,1.3698,1.37196,58306
2014-04-04 00:00,1.37195,1.37311,1.36725,1.37017,54477
2014-04-05 00:00,1.37017,1.37017,1.37017,1.37017,0
2014-04-06 00:00,1.37017,1.37017,1.37017,1.37017,0
2014-04-07 00:00,1.36967,1.37483,1.3696,1.37409,37008
2014-04-08 00:00,1.37412,1.38113,1.37371,1.37967,50670
2014-04-09 00:00,1.37967,1.38618,1.37798,1.38547,52031
2014-04-10 00:00,1.38545,1.38989,1.38358,1.38856,57734
2014-04-11 00:00,1.38856,1.39057,1.38632,1.38842,53445
2014-04-12 00:00,1.38842,1.38842,1.38842,1.38842,0
2014-04-13 00:00,1.38842,1.38842,1.38842,1.38842,0
2014-04-14 00:00,1.3843,1.38627,1.3808,1.38204,55923
2014-04-15 00:00,1.38204,1.3833,1.37902,1.3814,55034
2014-04-16 00:00,1.38137,1.38505,1.38034,1.3815,53104
2014-04-17 00:00,1.38152,1.38643,1.38106,1.38132,48829
2014-04-18 00:00,1.38132,1.3822,1.38082,1.38125,14384
2014-04-19 00:00,1.38125,1.38125,1.38125,1.38125,0
2014-04-20 00:00,1.38125,1.38125,1.38125,1.38125,0
2014-04-21 00:00,1.3811,1.38303,1.3787,1.37923,22862
2014-04-22 00:00,1.37923,1.38246,1.37848,1.38046,41071
2014-04-23 00:00,1.38044,1.3855,1.37999,1.38164,52171
2014-04-24 00:00,1.38164,1.38429,1.37912,1.3831,50265
2014-04-25 00:00,1.3831,1.3848,1.38266,1.38318,39508
2014-04-26 00:00,1.38318,1.38318,1.38318,1.38318,0
