X
35.4438
35.7272
35.6605
35.7987
36.1102
36.2496
36.4461
36.0475
36.089
36.2222
36.0395
36.0014
36.0294
36.1094
36.224
36.3317
36.0027
36.1201
36.1358
36.1397
36.3053
36.9316
37.2945
37.348
37.3183
36.8038
36.9219
37.0866
37.0261
37.1693
37.3758
37.6545
37.9861
38.7058
38.3724
38.4209
38.4134
38.5782
38.6672
38.383
38.3007
38.7243
39.3866
39.3836
39.6604
39.5474
39.698
39.982
39.7417
39.9819
39.98
40.2125
40.3251
40.5304
40.9416
40.7457
41.045
40.8815
41.0501
40.9671
41.4958
41.8101
41.9497
42.3934
42.6525
43.3943
41.9627
44.3993
45.1854
47.8774
45.8926
45.952
46.3379
46.1233
47.392
47.3329
46.9797
47.0294
46.7047
45.7926
44.7852
44.9758
46.4244
47.6629
49.322
51.8068
50.7678
54.3821
52.6932
53.1088
53.3079
54.2116
54.2758
54.7932
56.8919
58.3461
61.1512
67.7851
59.6029
60.6825
56.494
54.5687
54.4913
52.6159
52.0343
56.6801
56.2584
56.2376
62.7363
64.8425
66.0983
64.8337
65.1738
